route_id,service_id,trip_id,trip_headsign,direction_id,block_id
18-273,JAN18-JANDA18-Weekday-31,50075701-JAN18-JANDA18-Weekday-31,"St-Laurent",0,5756350
101-273,JAN18-JANDA18-Weekday-31,50075702-JAN18-JANDA18-Weekday-31,"Bayshore",1,5755934
101-273,JAN18-JANDA18-Weekday-31,50075703-JAN18-JANDA18-Weekday-31,"St-Laurent",0,5756411
106-273,JAN18-JANDA18-Weekday-31,50075704-JAN18-JANDA18-Weekday-31,"Hurdman",1,5756015
88-273,JAN18-JANDA18-Weekday-31,50075705-JAN18-JANDA18-Weekday-31,"Terry Fox",1,5757206
62-273,JAN18-JANDA18-Weekday-31,50075706-JAN18-JANDA18-Weekday-31,"St-Laurent",0,5757206
95-273,JAN18-JANDA18-Weekday-31,50075707-JAN18-JANDA18-Weekday-31,"Orléans",0,5755950
95-273,JAN18-JANDA18-Weekday-31,50075708-JAN18-JANDA18-Weekday-31,"Barrhaven Centre",1,5756790
99-273,JAN18-JANDA18-Weekday-31,50075709-JAN18-JANDA18-Weekday-31,"Greenboro",0,5757063
12-273,JAN18-JANDA18-Weekday-31,50075710-JAN18-JANDA18-Weekday-31,"Blair",0,5757155
12-273,JAN18-JANDA18-Weekday-31,50075711-JAN18-JANDA18-Weekday-31,"Rideau",1,5757159
12-273,JAN18-JANDA18-Weekday-31,50075712-JAN18-JANDA18-Weekday-31,"Blair",0,5757136
12-273,JAN18-JANDA18-Weekday-31,50075713-JAN18-JANDA18-Weekday-31,"Rideau",1,5757153
12-273,JAN18-JANDA18-Weekday-31,50075714-JAN18-JANDA18-Weekday-31,"Blair",0,5757153
12-273,JAN18-JANDA18-Weekday-31,50075715-JAN18-JANDA18-Weekday-31,"Rideau",1,5757153
12-273,JAN18-JANDA18-Weekday-31,50075716-JAN18-JANDA18-Weekday-31,"Blair",0,5757170
12-273,JAN18-JANDA18-Weekday-31,50075717-JAN18-JANDA18-Weekday-31,"Blair",0,5757140
